rosbagTimestamp,data
36000000,"""15_07_51_723, 85, 689"""
172000000,"""15_07_52_712, 86, 685"""
334000000,"""15_07_53_702, 86, 700"""
457000000,"""15_07_54_692, 86, 731"""
566000000,"""15_07_55_682, 84, 777"""
677000000,"""15_07_57_167, 83, 782"""
853000000,"""15_07_57_662, 83, 777"""
1275000000,"""15_07_58_652, 82, 767"""
1739000000,"""15_07_59_642, 83, 725"""
2189000000,"""15_08_00_632, 85, 691"""
2667000000,"""15_08_01_624, 86, 656"""
3209000000,"""15_08_02_612, 88, 643"""
3744000000,"""15_08_03_602, 89, 643"""
4255000000,"""15_08_04_592, 89, 677"""
4708000000,"""15_08_05_582, 90, 673"""
5219000000,"""15_08_06_572, 90, 679"""
5766000000,"""15_08_07_562, 90, 674"""
6400000000,"""15_08_08_552, 90, 661"""
7126000000,"""15_08_10_37, 92, 636"""
7330000000,"""15_08_10_532, 92, 642"""
7694000000,"""15_08_11_522, 92, 658"""
8118000000,"""15_08_12_513, 90, 754"""
8646000000,"""15_08_13_502, 90, 811"""
9201000000,"""15_08_14_493, 87, 824"""
9628000000,"""15_08_15_483, 86, 780"""
10037000000,"""15_08_16_473, 85, 788"""
10560000000,"""15_08_17_463, 84, 793"""
11136000000,"""15_08_18_454, 83, 802"""
11615000000,"""15_08_19_443, 82, 769"""
11985000000,"""15_08_20_433, 82, 750"""
12396000000,"""15_08_21_423, 83, 747"""
12800000000,"""15_08_22_413, 83, 689"""
13243000000,"""15_08_23_403, 84, 716"""
13662000000,"""15_08_24_393, 84, 749"""
14051000000,"""15_08_25_383, 83, 733"""
14521000000,"""15_08_26_373, 83, 761"""
15009000000,"""15_08_27_363, 83, 749"""
15671000000,"""15_08_28_848, 84, 721"""
16184000000,"""15_08_29_838, 85, 652"""
16729000000,"""15_08_30_828, 88, 632"""
17247000000,"""15_08_31_818, 90, 621"""
17784000000,"""15_08_32_808, 91, 657"""
18335000000,"""15_08_33_798, 90, 688"""
18852000000,"""15_08_34_788, 90, 702"""
19528000000,"""15_08_36_273, 90, 713"""
19783000000,"""15_08_36_768, 87, 748"""
20233000000,"""15_08_37_758, 86, 776"""
20721000000,"""15_08_38_748, 85, 768"""
21213000000,"""15_08_39_738, 85, 761"""
21687000000,"""15_08_40_728, 84, 740"""
22149000000,"""15_08_41_718, 84, 744"""
22681000000,"""15_08_42_708, 83, 772"""
23415000000,"""15_08_44_193, 83, 775"""
23678000000,"""15_08_44_688, 82, 755"""
24176000000,"""15_08_45_678, 82, 777"""
24682000000,"""15_08_46_668, 81, 785"""
25191000000,"""15_08_47_658, 81, 770"""
25712000000,"""15_08_48_648, 80, 795"""
26230000000,"""15_08_49_638, 80, 796"""
26701000000,"""15_08_50_628, 81, 755"""
27460000000,"""15_08_52_113, 81, 724"""
27702000000,"""15_08_52_608, 82, 727"""
28240000000,"""15_08_53_598, 82, 741"""
28757000000,"""15_08_54_588, 82, 754"""
29277000000,"""15_08_55_578, 82, 752"""
29801000000,"""15_08_56_568, 82, 769"""
30330000000,"""15_08_57_558, 82, 712"""
30864000000,"""15_08_58_548, 83, 716"""
31396000000,"""15_08_59_538, 84, 698"""
31914000000,"""15_09_00_528, 85, 697"""
32416000000,"""15_09_01_518, 86, 667"""
32952000000,"""15_09_02_508, 88, 656"""
33470000000,"""15_09_03_498, 88, 674"""
33981000000,"""15_09_04_488, 89, 683"""
34515000000,"""15_09_05_478, 89, 665"""
35018000000,"""15_09_06_468, 90, 666"""
35538000000,"""15_09_07_458, 90, 658"""
36070000000,"""15_09_08_448, 90, 666"""
36615000000,"""15_09_09_438, 90, 679"""
37123000000,"""15_09_10_428, 90, 689"""
37653000000,"""15_09_11_418, 89, 707"""
38177000000,"""15_09_12_408, 89, 717"""
38684000000,"""15_09_13_398, 89, 699"""
39210000000,"""15_09_14_389, 89, 688"""
39787000000,"""15_09_15_378, 90, 652"""
40314000000,"""15_09_16_369, 91, 655"""
41066000000,"""15_09_17_854, 92, 644"""
41579000000,"""15_09_18_845, 92, 637"""
42093000000,"""15_09_19_833, 94, 620"""
42616000000,"""15_09_20_823, 97, 593"""
43138000000,"""15_09_21_814, 98, 576"""
43938000000,"""15_09_23_299, 100, 575"""
44208000000,"""15_09_23_794, 100, 589"""
44746000000,"""15_09_24_784, 100, 669"""
45268000000,"""15_09_25_773, 100, 748"""
45764000000,"""15_09_26_764, 100, 815"""
46275000000,"""15_09_27_754, 97, 836"""
47047000000,"""15_09_29_239, 94, 850"""
47281000000,"""15_09_29_734, 91, 845"""
47778000000,"""15_09_30_724, 88, 833"""
48265000000,"""15_09_31_714, 87, 765"""
48761000000,"""15_09_32_704, 86, 741"""
49237000000,"""15_09_33_694, 85, 747"""
49952000000,"""15_09_35_179, 85, 745"""
50186000000,"""15_09_35_674, 85, 724"""
50688000000,"""15_09_36_664, 85, 697"""
51197000000,"""15_09_37_654, 85, 711"""
51695000000,"""15_09_38_644, 85, 731"""
52199000000,"""15_09_39_634, 85, 718"""
52695000000,"""15_09_40_624, 86, 725"""
53208000000,"""15_09_41_614, 86, 718"""
53719000000,"""15_09_42_604, 85, 742"""
54180000000,"""15_09_43_594, 84, 779"""
54642000000,"""15_09_44_584, 83, 765"""
55096000000,"""15_09_45_574, 84, 716"""
55573000000,"""15_09_46_564, 85, 695"""
56034000000,"""15_09_47_554, 85, 700"""
56506000000,"""15_09_48_544, 85, 712"""
56986000000,"""15_09_49_535, 85, 699"""
57431000000,"""15_09_50_524, 85, 728"""
57930000000,"""15_09_51_514, 85, 727"""
58400000000,"""15_09_52_504, 85, 695"""
58909000000,"""15_09_53_494, 86, 714"""
59405000000,"""15_09_54_484, 86, 676"""
59913000000,"""15_09_55_474, 86, 758"""
60351000000,"""15_09_56_464, 85, 795"""
60830000000,"""15_09_57_454, 84, 770"""
61287000000,"""15_09_58_444, 83, 768"""
61728000000,"""15_09_59_434, 83, 763"""
62154000000,"""15_10_00_424, 83, 756"""
62561000000,"""15_10_01_415, 83, 720"""
63180000000,"""15_10_02_899, 83, 728"""
63387000000,"""15_10_03_394, 83, 754"""
63854000000,"""15_10_04_384, 82, 768"""
64309000000,"""15_10_05_375, 82, 785"""
64737000000,"""15_10_06_364, 82, 751"""
65416000000,"""15_10_07_850, 82, 750"""
65858000000,"""15_10_08_839, 81, 779"""
66265000000,"""15_10_09_829, 80, 849"""
66662000000,"""15_10_10_819, 78, 886"""
67114000000,"""15_10_11_810, 77, 871"""
67507000000,"""15_10_12_800, 77, 837"""
67928000000,"""15_10_13_789, 78, 769"""
68351000000,"""15_10_14_779, 78, 746"""
68779000000,"""15_10_15_769, 78, 766"""
69178000000,"""15_10_16_759, 78, 790"""
69600000000,"""15_10_17_749, 78, 788"""
70006000000,"""15_10_18_739, 79, 756"""
70439000000,"""15_10_19_729, 80, 737"""
70843000000,"""15_10_20_719, 80, 736"""
71224000000,"""15_10_21_709, 80, 751"""
71808000000,"""15_10_23_194, 80, 795"""
72036000000,"""15_10_23_689, 79, 785"""
72421000000,"""15_10_24_679, 79, 785"""
72789000000,"""15_10_25_670, 79, 785"""
73207000000,"""15_10_26_659, 79, 758"""
73648000000,"""15_10_27_649, 80, 740"""
74070000000,"""15_10_28_639, 81, 735"""
74681000000,"""15_10_30_124, 82, 708"""
74903000000,"""15_10_30_620, 83, 705"""
75320000000,"""15_10_31_609, 84, 692"""
75774000000,"""15_10_32_600, 84, 718"""
76229000000,"""15_10_33_590, 84, 760"""
76661000000,"""15_10_34_580, 83, 777"""
77122000000,"""15_10_35_571, 84, 741"""
77545000000,"""15_10_36_560, 85, 676"""
77934000000,"""15_10_37_550, 88, 647"""
78312000000,"""15_10_38_540, 90, 607"""
78737000000,"""15_10_39_530, 91, 669"""
79143000000,"""15_10_40_520, 90, 693"""
79801000000,"""15_10_42_05, 89, 744"""
80033000000,"""15_10_42_500, 88, 761"""
80481000000,"""15_10_43_490, 87, 734"""
80898000000,"""15_10_44_480, 88, 684"""
